"id","credits","updated","app_id","entity_id"
98,0, 2019-07-05 21:32:24.617148+00 ,1,33
99,0, 2019-07-17 18:57:41.838731+00 ,2,376
100,0, 2019-07-17 18:57:41.840909+00 ,1,376
101,0, 2019-07-27 11:43:39.023744+00 ,2,379
102,0, 2019-07-27 11:43:39.028739+00 ,1,379
103,3, 2019-07-28 15:26:43.535724+00 ,2,380
104,0, 2019-07-28 15:26:43.538003+00 ,1,380
105,0, 2019-07-30 17:38:52.537484+00 ,2,377
106,0, 2019-07-30 17:38:52.539962+00 ,1,377
107,0, 2019-07-31 11:06:45.967434+00 ,2,381
108,0, 2019-07-31 11:06:45.969654+00 ,1,381
109,0, 2019-07-31 16:44:22.632299+00 ,2,338
110,5, 2019-07-31 16:48:26.150951+00 ,1,338
111,4, 2019-08-05 13:53:46.513241+00 ,2,382
112,0, 2019-08-05 13:53:46.515983+00 ,1,382
113,0, 2019-08-05 16:16:05.599187+00 ,2,383
114,0, 2019-08-05 16:16:05.601422+00 ,1,383
115,4, 2019-08-05 17:37:05.919602+00 ,2,384
116,0, 2019-08-05 17:37:05.923846+00 ,1,384
117,1, 2019-08-06 16:21:45.052778+00 ,2,386
118,0, 2019-08-06 16:21:45.055245+00 ,1,386
119,3, 2019-08-07 10:43:12.338692+00 ,2,387
120,0, 2019-08-07 10:43:12.340758+00 ,1,387
121,4, 2019-08-07 10:55:48.434327+00 ,2,388
122,0, 2019-08-07 10:55:48.436543+00 ,1,388
123,0, 2019-08-09 11:12:00.872871+00 ,2,389
124,0, 2019-08-09 11:12:00.876101+00 ,1,389
125,9, 2019-08-09 12:14:24.743652+00 ,2,390
126,0, 2019-08-09 12:14:24.745846+00 ,1,390
127,4, 2019-08-09 14:50:41.538725+00 ,2,391
128,0, 2019-08-09 14:50:41.540936+00 ,1,391
129,4, 2019-08-12 10:14:57.633554+00 ,2,392
130,0, 2019-08-12 10:14:57.636034+00 ,1,392
131,4, 2019-08-13 11:29:45.432541+00 ,2,393
132,0, 2019-08-13 11:29:45.434593+00 ,1,393
133,4, 2019-08-14 15:26:35.235758+00 ,2,394
134,0, 2019-08-14 15:26:35.237994+00 ,1,394
135,4, 2019-08-14 16:34:35.069183+00 ,2,395
136,0, 2019-08-14 16:34:35.071561+00 ,1,395
137,0, 2019-08-16 13:17:19.914439+00 ,2,397
138,0, 2019-08-16 13:17:19.916678+00 ,1,397
