"id","updated","debits","available_credits","action_id","entity_id","user_id"
95, 2019-08-06 20:17:14.84632+00  ,0,-1,1,386,7509
96, 2019-08-07 04:23:36.957865+00 ,0,10,1,309,6728
97, 2019-08-07 09:05:43.688275+00 ,1,0,5,386,7509
98, 2019-08-07 13:57:53.483609+00 ,0,5,1,388,7517
99, 2019-08-07 13:58:18.174316+00 ,0,4,1,386,7509
100, 2019-08-07 13:59:35.093475+00 ,0,5,1,384,7497
101, 2019-08-07 14:28:52.308309+00 ,1,4,5,388,7517
102, 2019-08-07 16:01:51.89065+00  ,1,4,5,384,7497
103, 2019-08-08 09:49:03.392668+00 ,0,5,1,387,7516
104, 2019-08-08 16:03:07.752542+00 ,2,11,5,309,7447
105, 2019-08-08 16:03:15.467825+00 ,2,3,5,387,7516
106, 2019-08-09 11:19:52.766172+00 ,1,10,4,309,7447
107, 2019-08-09 13:01:58.272533+00 ,0,5,1,390,7547
108, 2019-08-09 15:45:27.666853+00 ,0,5,1,391,7550
109, 2019-08-09 15:46:00.021107+00 ,0,5,1,390,7547
110, 2019-08-09 16:22:27.871537+00 ,1,4,5,391,7550
111, 2019-08-09 17:18:13.653829+00 ,1,4,5,380,7470
112, 2019-08-09 17:20:40.993092+00 ,1,3,5,380,7470
113, 2019-08-12 09:31:47.614953+00 ,1,4,5,390,7547
114, 2019-08-12 11:05:17.093378+00 ,0,5,1,392,7571
115, 2019-08-12 11:36:38.171191+00 ,1,4,5,392,7571
116, 2019-08-13 15:34:23.356563+00 ,0,5,1,393,7578
117, 2019-08-13 16:05:51.396901+00 ,1,4,5,393,7578
118, 2019-08-14 15:35:35.646827+00 ,0,5,1,394,7602
119, 2019-08-14 16:59:38.173308+00 ,0,5,1,395,7604
120, 2019-08-14 17:02:14.49693+00  ,1,4,5,394,7602
121, 2019-08-14 17:02:36.463899+00 ,1,4,5,395,7604
122, 2019-08-16 09:16:28.283996+00 ,2,7,5,338,7447
123, 2019-08-16 09:16:28.293207+00 ,2,5,4,338,7447
