Arabic,Arabe,Arabe
Bengali,Bengali,Bengalí
Chinese,Chinois,Chino
English,Anglais,Inglés
French,Français,Francés
German,Allemand,Alemán
Hindi,Hindi,Hindi
Italian,Italien,Italiano
Japanese,Japonais,Japonés
Javanese,Javanais,Javanés
Korean,Coréen,Coreano
Lahnda,Lahnda,Lahnda
Marathi,Marathi,Marathi
Portuguese,Portugais,Portugués
Russian,Russe,Ruso
Spanish,Espagnol,Español
Tamil,Tamil,Tamil
Telugu,Telugu,Telugu
Urdu,L'ourdou,Urdu
Vietnamese,Vietnamien,Vietnamita
Other,Autre,Otro
