/ Hour,/ Heure,/ Hora
/ Day,/ Jour,/ Día
/ Week,/ Semaine,/ Semana
/ BiWeek,/ BiWeek,/ BiWeek
/ Month,/ Mois,/ Mes
/ Quarter,/ Trimestre,/ Trimestre
/ Year,/ Année,/ Año
