COUNTRY,,,PROVINCES,,CITIES
Gabon,,,Estuary,,Libreville
Gabon,,,Haut-Ogooué,,Franceville
Gabon,,,Middle Ogooué,,Lambaréné
Gabon,,,Ngounié,,Mouila
Gabon,,,Nyanga,,Tchibanga
Gabon,,,Ogooue-Ivindo,,Makokou
Gabon,,,Ogooue-Lolo,,Koulamoutou
Gabon,,,Ogooué-Maritime,,Port Gentil 
Gabon,,,Woleu-Ntem,,Oyem
