"registered_address_city"
"Malaga"
"Abidjan"
"Hydreabad"
"Kinshasa"
"Douala"
"Libreville"
"Cergy"
"Kribi"
"Vishakapatnam"
"City"
"Yaounde"
"Littoral"
"Malabo"
"Brazzaville"
"Limbe"
"Bordeaux"
"Abuja"
"Buea"
"Bata"
"West Chicago"
"amsterdam"
"Irving"
"Bamenda"
"Lagos"
"Ngaoundere"
"Bangalore"
"Lubumbashi"
"Aberdeen "
"dfdsfsdfdf"
