COUNTRY_EN,STATE_EN,CITY_EN,COUNTRY_FR,STATE_FR,CITY_FR,COUNTRY_ES,STATE_ES,CITY_ES,COUNTRY_CODE,STATE_CODE
UNITED KINGDOM,England	,Ellesmere Port	,ROYAUME-UNI,England	,Ellesmere Port	,,,,,
UNITED KINGDOM,England	,Esher	,ROYAUME-UNI,England	,Esher	,,,,,
UNITED KINGDOM,England	,Ewell	,ROYAUME-UNI,England	,Ewell	,,,,,
UNITED KINGDOM,England	,Exeter	,ROYAUME-UNI,England	,Exeter	,,,,,
UNITED KINGDOM,England	,Farnborough	,ROYAUME-UNI,England	,Farnborough	,,,,,
UNITED KINGDOM,England	,Filton	,ROYAUME-UNI,England	,Filton	,,,,,
UNITED KINGDOM,England	,Folkestone	,ROYAUME-UNI,England	,Folkestone	,,,,,
UNITED KINGDOM,England	,Gateshead	,ROYAUME-UNI,England	,Gateshead	,,,,,
UNITED KINGDOM,England	,Gillingham	,ROYAUME-UNI,England	,Gillingham	,,,,,
UNITED KINGDOM,England	,Gloucester	,ROYAUME-UNI,England	,Gloucester	,,,,,
UNITED KINGDOM,England	,Gosport	,ROYAUME-UNI,England	,Gosport	,,,,,
UNITED KINGDOM,England	,Gravesend	,ROYAUME-UNI,England	,Gravesend	,,,,,
UNITED KINGDOM,England	,Grays	,ROYAUME-UNI,England	,Grays	,,,,,
UNITED KINGDOM,England	,Grimsby	,ROYAUME-UNI,England	,Grimsby	,,,,,
UNITED KINGDOM,England	,Guildford	,ROYAUME-UNI,England	,Guildford	,,,,,
UNITED KINGDOM,England	,Halesowen	,ROYAUME-UNI,England	,Halesowen	,,,,,
UNITED KINGDOM,England	,Halifax	,ROYAUME-UNI,England	,Halifax	,,,,,
UNITED KINGDOM,England	,Harlow	,ROYAUME-UNI,England	,Harlow	,,,,,
UNITED KINGDOM,England	,Harrogate	,ROYAUME-UNI,England	,Harrogate	,,,,,
UNITED KINGDOM,England	,Hartlepool	,ROYAUME-UNI,England	,Hartlepool	,,,,,
UNITED KINGDOM,England	,Hastings	,ROYAUME-UNI,England	,Hastings	,,,,,
UNITED KINGDOM,England	,Hemel Hempstead	,ROYAUME-UNI,England	,Hemel Hempstead	,,,,,
UNITED KINGDOM,England	,Hereford	,ROYAUME-UNI,England	,Hereford	,,,,,
UNITED KINGDOM,England	,High Wycombe	,ROYAUME-UNI,England	,High Wycombe	,,,,,
UNITED KINGDOM,England	,Huddersfield	,ROYAUME-UNI,England	,Huddersfield	,,,,,
UNITED KINGDOM,England	,Ipswich	,ROYAUME-UNI,England	,Ipswich	,,,,,
UNITED KINGDOM,England	,Keighley	,ROYAUME-UNI,England	,Keighley	,,,,,
UNITED KINGDOM,England	,Kettering	,ROYAUME-UNI,England	,Kettering	,,,,,
UNITED KINGDOM,England	,Kidderminster	,ROYAUME-UNI,England	,Kidderminster	,,,,,
UNITED KINGDOM,England	,Kingston upon Hull (Hull)	,ROYAUME-UNI,England	,Kingston upon Hull (Hull)	,,,,,
UNITED KINGDOM,England	,Kingswinford	,ROYAUME-UNI,England	,Kingswinford	,,,,,
UNITED KINGDOM,England	,Lancaster	,ROYAUME-UNI,England	,Lancaster	,,,,,
UNITED KINGDOM,England	,Leeds	,ROYAUME-UNI,England	,Leeds	,,,,,
UNITED KINGDOM,England	,Leicester	,ROYAUME-UNI,England	,Leicester	,,,,,
UNITED KINGDOM,England	,Lincoln	,ROYAUME-UNI,England	,Lincoln	,,,,,
UNITED KINGDOM,England	,Littlehampton	,ROYAUME-UNI,England	,Littlehampton	,,,,,
UNITED KINGDOM,England	,Liverpool	,ROYAUME-UNI,England	,Liverpool	,,,,,
UNITED KINGDOM,England	,Liverpool	,ROYAUME-UNI,England	,Liverpool	,,,,,
UNITED KINGDOM,England	,Loughborough	,ROYAUME-UNI,England	,Loughborough	,,,,,
UNITED KINGDOM,England	,Lowestoft	,ROYAUME-UNI,England	,Lowestoft	,,,,,
UNITED KINGDOM,England	,Luton	,ROYAUME-UNI,England	,Luton	,,,,,
UNITED KINGDOM,England	,Macclesfield	,ROYAUME-UNI,England	,Macclesfield	,,,,,
UNITED KINGDOM,England	,Maidenhead	,ROYAUME-UNI,England	,Maidenhead	,,,,,
UNITED KINGDOM,England	,Maidstone	,ROYAUME-UNI,England	,Maidstone	,,,,,
UNITED KINGDOM,England	,Manchester	,ROYAUME-UNI,England	,Manchester	,,,,,
UNITED KINGDOM,England	,Mansfield	,ROYAUME-UNI,England	,Mansfield	,,,,,
UNITED KINGDOM,England	,Margate	,ROYAUME-UNI,England	,Margate	,,,,,
UNITED KINGDOM,England	,Middlesbrough	,ROYAUME-UNI,England	,Middlesbrough	,,,,,
UNITED KINGDOM,England	,Milton Keynes	,ROYAUME-UNI,England	,Milton Keynes	,,,,,
UNITED KINGDOM,England	,Newcastle-under-Lyme	,ROYAUME-UNI,England	,Newcastle-under-Lyme	,,,,,
UNITED KINGDOM,England	,Newcastle upon Tyne	,ROYAUME-UNI,England	,Newcastle upon Tyne	,,,,,
UNITED KINGDOM,England	,Northampton	,ROYAUME-UNI,England	,Northampton	,,,,,
UNITED KINGDOM,England	,Norwich	,ROYAUME-UNI,England	,Norwich	,,,,,
UNITED KINGDOM,England	,Nottingham	,ROYAUME-UNI,England	,Nottingham	,,,,,
UNITED KINGDOM,England	,Nuneaton	,ROYAUME-UNI,England	,Nuneaton	,,,,,
UNITED KINGDOM,England	,Oldham	,ROYAUME-UNI,England	,Oldham	,,,,,
UNITED KINGDOM,England	,Oxford	,ROYAUME-UNI,England	,Oxford	,,,,,
UNITED KINGDOM,England	,Paignton	,ROYAUME-UNI,England	,Paignton	,,,,,
UNITED KINGDOM,England	,Peterborough	,ROYAUME-UNI,England	,Peterborough	,,,,,
UNITED KINGDOM,England	,Plymouth	,ROYAUME-UNI,England	,Plymouth	,,,,,
UNITED KINGDOM,England	,Poole	,ROYAUME-UNI,England	,Poole	,,,,,
UNITED KINGDOM,England	,Portsmouth	,ROYAUME-UNI,England	,Portsmouth	,,,,,
UNITED KINGDOM,England	,Preston	,ROYAUME-UNI,England	,Preston	,,,,,
UNITED KINGDOM,England	,Rayleigh	,ROYAUME-UNI,England	,Rayleigh	,,,,,
UNITED KINGDOM,England	,Reading	,ROYAUME-UNI,England	,Reading	,,,,,
UNITED KINGDOM,England	,Redditch	,ROYAUME-UNI,England	,Redditch	,,,,,
UNITED KINGDOM,England	,Rochdale	,ROYAUME-UNI,England	,Rochdale	,,,,,
UNITED KINGDOM,England	,Rochester	,ROYAUME-UNI,England	,Rochester	,,,,,
UNITED KINGDOM,England	,Rotherham	,ROYAUME-UNI,England	,Rotherham	,,,,,
UNITED KINGDOM,England	,Royal Leamington Spa	,ROYAUME-UNI,England	,Royal Leamington Spa	,,,,,
UNITED KINGDOM,England	,Royal Tunbridge Wells	,ROYAUME-UNI,England	,Royal Tunbridge Wells	,,,,,
UNITED KINGDOM,England	,Rugby	,ROYAUME-UNI,England	,Rugby	,,,,,
UNITED KINGDOM,England	,Runcorn	,ROYAUME-UNI,England	,Runcorn	,,,,,
UNITED KINGDOM,England	,Sale	,ROYAUME-UNI,England	,Sale	,,,,,
UNITED KINGDOM,England	,Salford	,ROYAUME-UNI,England	,Salford	,,,,,
UNITED KINGDOM,England	,Scarborough	,ROYAUME-UNI,England	,Scarborough	,,,,,
UNITED KINGDOM,England	,Scunthorpe	,ROYAUME-UNI,England	,Scunthorpe	,,,,,
UNITED KINGDOM,England	,Sheffield	,ROYAUME-UNI,England	,Sheffield	,,,,,
